"";"titulo"
"590";"3rd Meetup: Intro to dplyr & Github "
"591";"Get to know R-Ladies | Drinks"
"592";"Youth Tech Fest where Girls innovate"
"593";"The tidyverse special edition. Workshop."
"594";"Get to know R-Ladies | Social Drinks"
"595";"Work happieR: A workshop on project oriented workflow in R"
"596";"How diversely do we read?  Web scrapping in R"
"597";"R-Ladies Social Drinks"
"598";"End of year party"
"599";"R and RStudio Introductory Workshop"
"600";"R-Ladies Brisbane Networking"
"601";"Shiny Apps, building a R user community and Web Scraping using R!"
"602";"R-Ladies Brisbane August meetup, Rmarkdown, Creating Packages and more!"
